,the_geom,Order Number,Borough,On Street,From Street,To Street,Side of the Street,Sign Description,Relief Stand,Space Count,Shape Length
0,"MULTILINESTRING ((-73.92771134831106 40.75925943252742, -73.92757821396411 40.759422731142784))",P-01510266,Queens,31 STREET,34 AVENUE,35 AVENUE,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT 10:30AM-7PM ALL DAYS -->,TAXI/FHV,3,69.9999638845
1,"MULTILINESTRING ((-73.90461037884852 40.87891470275179, -73.90433160407244 40.878810053261304))",P-01540213,Bronx,WEST  231 STREET,ALBANY CRESCENT,BROADWAY,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,4,86.0049092716
2,"MULTILINESTRING ((-73.85773971656802 40.89341481537345, -73.85786756143106 40.89345314264801))",P-01271501,Bronx,EAST 233 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,1,38.0045210129
3,"MULTILINESTRING ((-73.84871902488202 40.857413338907726, -73.84862892103851 40.85741108295704))",P-01650976,Bronx,PELHAM PARKWAY SOUTH,WILSON AVENUE,EASTCHESTER ROAD,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,1,24.9386249243
4,"MULTILINESTRING ((-73.9857737657383 40.75274160213033, -73.98589296166884 40.75257844336777))",P-01552000,Manhattan,6 AVENUE,WEST 38 STREET,WEST 39 STREET,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,3,68.0016020356
5,"MULTILINESTRING ((-73.98581251928965 40.76293414336051, -73.98608750366319 40.76304949457323))",P-01340434,Manhattan,WEST 51 STREET,8 AVENUE,9 AVENUE,S,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,4,86.9998003461
6,"MULTILINESTRING ((-73.97806651781036 40.76329863194704, -73.97818385985177 40.76313631672145))",S-01551992,Manhattan,6 AVENUE,WEST 55 STREET,WEST 56 STREET,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,3,67.4817653386
7,"MULTILINESTRING ((-73.99194904673433 40.74507599173158, -73.99211291360537 40.74514555189574))",P-01624482,Manhattan,WEST 26 STREET,7 AVENUE,6 AVENUE,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT MONDAY-FRIDAY 9AM-5PM -->,TAXI,2,52.0000772356
8,"MULTILINESTRING ((-73.98315102104078 40.7429831950429, -73.98355751817112 40.74315577470108))",P-01595394,Manhattan,EAST 28 STREET,PARK AVENUE SOUTH,LEXINGTON AVENUE,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,6,129.00166553
9,"MULTILINESTRING ((-73.9384748633304 40.85089549803864, -73.93885708076593 40.85100486696644))",P-01415173,Manhattan,WEST 181 STREET,PINEHURST AVENUE,FORT WASHINGTON AVENUE,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,5,113.000398714
10,"MULTILINESTRING ((-73.9861841166084 40.746688576717396, -73.9866279407567 40.74687789753323))",P-01556320,Manhattan,WEST 31 STREET,5 AVENUE,BROADWAY,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT MONDAY-FRIDAY 6PM-2AM SATURDAY & SUNDAY ALL DAY --> (SUPERSEDES SP-375BA),TAXI,7,141.000430147
11,"MULTILINESTRING ((-73.95925218187183 40.774265618699914, -73.95925202911134 40.77426554570519, -73.95925082120951 40.774265013981335, -73.95921223892053 40.77424883630436, -73.95919273461902 40.774240661837766, -73.95914786408353 40.77422185964767))",P-01326565,Manhattan,EAST 78 STREET,LEXINGTON AVENUE,3 AVENUE,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,1,32.9999766881
12,"MULTILINESTRING ((-73.9842291729159 40.740359814090375, -73.98406915092197 40.740584097603765))",P-01315703,Manhattan,LEXINGTON AVENUE,EAST 25 STREET,EAST 24 STREET,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT MONDAY-FRIDAY 8AM-6PM -->,TAXI/FHV,4,92.970484088
13,"MULTILINESTRING ((-73.92681913301071 40.86502381212818, -73.92709786309925 40.86544952212098))",P-01411423,Manhattan,DYCKMAN STREET,VERMILYEA AVENUE,BROADWAY,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,TAXI/FHV,8,173.206501678
14,"MULTILINESTRING ((-73.98466474970392 40.76446146841829, -73.98479306600431 40.764284429211884))",P-01593595,Manhattan,8 AVENUE,WEST 53 STREET,WEST 54 STREET,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,3,73.6469654702
