,License Number,Agent Number,Hackup Payment Amount,Operational Payment Amount,Total Payment Amount,Payment Date,Last Date Updated,Last Time Updated
0,4B98,,$0.00,"$1,000.00","$1,000.00",02/15/2023,01/23/2024,18:00:09
1,8B98,,$0.00,"$1,000.00","$1,000.00",11/14/2019,01/23/2024,18:00:09
2,2R98,,$0.00,"$1,000.00","$1,000.00",02/15/2023,01/23/2024,18:00:09
3,2T78,,$0.00,"$1,000.00","$1,000.00",11/10/2021,01/23/2024,18:00:09
4,9N62,,$0.00,"$1,333.33","$1,333.33",04/25/2018,01/23/2024,18:00:09
5,3K79,A0307,$0.00,"$2,000.00","$2,000.00",02/16/2021,01/23/2024,18:00:09
6,8P92,,$0.00,"$1,000.00","$1,000.00",02/15/2023,01/23/2024,18:00:09
7,2B14,,$0.00,"$1,000.00","$1,000.00",11/23/2022,01/23/2024,18:00:09
8,4D34,A0259,$0.00,"$1,333.33","$1,333.33",11/17/2017,01/23/2024,18:00:09
9,7F60,A0202,$0.00,"$1,000.00","$1,000.00",07/23/2020,01/23/2024,18:00:09
10,8M62,A0213,$0.00,"$1,000.00","$1,000.00",06/24/2022,01/23/2024,18:00:09
11,9Y91,,$0.00,"$2,000.00","$2,000.00",02/15/2023,01/23/2024,18:00:09
12,7P54,A0356,"$14,000.00",$0.00,"$14,000.00",10/29/2021,01/23/2024,18:00:09
13,2P62,A0307,$0.00,"$1,333.33","$1,333.33",06/29/2018,01/23/2024,18:00:09
14,2E37,,$0.00,"$1,000.00","$1,000.00",02/15/2023,01/23/2024,18:00:09
15,1D76,,"$14,000.00",$0.00,"$14,000.00",03/31/2023,01/23/2024,18:00:09
16,3R10,A0282,$0.00,"$1,000.00","$1,000.00",05/21/2019,01/23/2024,18:00:09
17,7B81,,$0.00,"$1,000.00","$1,000.00",05/21/2019,01/23/2024,18:00:09
18,2W20,,"$14,000.00",$0.00,"$14,000.00",01/31/2020,01/23/2024,18:00:09
19,1R69,A0253,$0.00,"$1,333.33","$1,333.33",12/31/2018,01/23/2024,18:00:09
20,1V58,,$0.00,"$2,000.00","$2,000.00",11/14/2019,01/23/2024,18:00:09
21,8C12,A0307,$0.00,"$1,000.00","$1,000.00",02/07/2020,01/23/2024,18:00:09
22,3Y32,,"$14,000.00","$2,666.66","$16,666.66",03/03/2017,01/23/2024,18:00:09
