,App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
0,6076772,HDR,06/17/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
1,6072932,HDR,04/21/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/21/2024 11:00:01 PM
2,6073798,HDR,05/02/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
3,6078292,HDR,07/14/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
4,6073448,HDR,04/27/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
5,6078722,HDR,07/21/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
6,6078692,HDR,07/20/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
7,6078273,HDR,07/14/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
8,6072081,HDR,04/09/2024,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,07/21/2024 11:00:01 PM
9,6073084,HDR,04/23/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,07/21/2024 11:00:01 PM
10,6076764,HDR,06/17/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/21/2024 11:00:01 PM
11,6076051,HDR,06/05/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,07/21/2024 11:00:01 PM
12,6073240,HDR,04/24/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,07/21/2024 11:00:01 PM
