,Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
0,04/06/2024,NISS,4D,,GRY,EA61893,IL,400 E. Lower Wacker,(312) 744-7550,300405
1,04/17/2024,CHRY,LL,TK,RED,920AB983,IL,701 N. Sacramento,(773) 265-7605,7088760
2,04/13/2024,BUIC,LL,,WHI,WH1474D,WI,10300 S. Doty,(773) 568-8495,2967989
3,05/04/2024,HOND,4D,,SIL,EN29110,IL,400 E. Lower Wacker,(312) 744-7550,302237
4,04/27/2024,FORD,VN,,WHI,3241463B,IL,10300 S. Doty,(773) 568-8495,2968543
5,05/17/2024,MAZD,4D,,SIL,,IL,701 N. Sacramento,(773) 265-1846,1547451
6,04/17/2024,BMW,4D,,WHI,D000389,AR,701 N. Sacramento,(773) 265-7605,7088761
7,05/13/2024,CHEV,LL,TAH,MAR,,,701 N. Sacramento,(773) 265-7605,7090744
8,05/11/2024,TOYT,4T,,GRN,EH26371,IL,701 N. Sacramento,(773) 265-7605,7090550
9,05/13/2024,HYUN,4D,,SIL,EA18202,IL,701 N. Sacramento,(773) 265-7605,7090745
10,05/15/2024,JEEP,LL,CHE,GRN,,,10300 S. Doty,(773) 568-8495,2969250
11,04/18/2024,TOYT,4D,,GRN,3159792,IL,10300 S. Doty,(773) 568-8495,2968220
12,04/06/2024,KIA,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7088063
13,06/12/2024,PORS,LL,,LBL,M12736,AR,701 N. Sacramento,(773) 265-7605,7093130
14,05/07/2024,FORD,4D,,SIL,DK43514,IL,10300 S. Doty,(773) 785-9752,1726315
15,06/09/2024,NISS,4T,,SIL,CA77162,IL,701 N. Sacramento,(773) 265-7605,7092979
16,05/23/2024,FORD,4D,TK,MAR,123205TW,IL,10300 S. Doty,(773) 568-8495,2969561
17,06/05/2024,MAZD,4D,,BLU,CT76418,IL,400 E. Lower Wacker,(312) 744-7550,304333
18,05/09/2024,SATR,LL,,SIL,CT43495,IL,701 N. Sacramento,(773) 265-1846,1547394
19,04/21/2024,JEEP,LL,,DBL,S495877,IN,10300 S. Doty,(773) 568-8495,2968344
20,05/17/2024,GMC,LL,,MAR,CV50289,IL,701 N. Sacramento,(773) 265-1846,1547452
21,06/01/2024,MAZD,LL,,SIL,3849380,IL,400 E. Lower Wacker,(312) 744-7550,304083
22,04/23/2024,CHEV,4D,,SIL,CU36971,IL,701 N. Sacramento,(773) 265-1846,1547310
23,05/09/2024,TOYT,4D,,GRY,J14RHV,NJ,701 N. Sacramento,(773) 265-1846,1547396
24,05/07/2024,CHRY,VN,,SIL,,IL,10300 S. Doty,(773) 568-8495,2968963
25,06/12/2024,HYUN,LL,,BLK,DV56256,IL,701 N. Sacramento,(773) 265-7605,7093129
26,05/23/2024,VOLK,4D,,GRY,S364385,IN,10300 S. Doty,(773) 785-9752,1726401
27,06/11/2024,HYUN,4D,,BLU,BM48644,IL,10300 S. Doty,(773) 568-8495,2970227
28,05/04/2024,KIA,4D,,WHI,DN45135,IL,701 N. Sacramento,(773) 265-7605,7090018
29,03/18/2024,GMC,LL,,BLK,892AB627,IL,10300 S. Doty,(773) 568-8495,2966626
30,05/23/2024,CHRY,4D,,SIL,E825990,IL,701 N. Sacramento,(773) 265-7605,7091406
31,06/01/2024,NISS,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2969926
32,05/13/2024,,MC,,GRY,,,701 N. Sacramento,(773) 265-1846,1547420
33,04/13/2024,NISS,4D,,BLK,EB96965,IL,701 N. Sacramento,(773) 265-7605,7088556
34,05/15/2024,PONT,LL,TOR,WHI,,,10300 S. Doty,(773) 568-8495,2969249
35,05/07/2024,,BT,,WHI,,,10300 S. Doty,(773) 568-8495,2968965
36,06/09/2024,INFI,4T,,WHI,ATL2176,WI,701 N. Sacramento,(773) 265-7605,7092976
37,03/23/2024,CHEV,LL,,GRY,DK65093,IL,10300 S. Doty,(773) 568-8495,2967008
38,04/22/2024,LEXS,4D,,GRY,AL93008,IL,701 N. Sacramento,(773) 265-7605,7089177
39,03/17/2024,CHEV,4D,,BLK,Z669120,IL,400 E. Lower Wacker,(312) 744-7550,299172
40,05/23/2024,CHEV,4D,,BLU,006045A9,IL,701 N. Sacramento,(773) 265-1846,1547484
41,05/02/2024,BMW,4D,,BLK,,IL,701 N. Sacramento,(773) 265-1846,1547353
42,06/01/2024,CHRY,4D,,SIL,DS59607,IL,10300 S. Doty,(773) 568-8495,2969927
43,05/17/2024,CHRY,VN,,MAR,EB42914,IL,701 N. Sacramento,(773) 265-1846,1547450
44,04/21/2024,LINC,4D,,BLK,CW74094,IL,701 N. Sacramento,(773) 265-7605,7089099
45,06/11/2024,NISS,4D,,BLK,BX51025,IL,10300 S. Doty,(773) 568-8495,2970232
46,04/06/2024,HOND,LL,,SIL,DK78943,IL,400 E. Lower Wacker,(312) 744-7550,300408
47,05/30/2024,CHEV,LL,,BLK,DYV8569,MI,701 N. Sacramento,(773) 265-7605,7091900
48,05/30/2024,HOND,LL,,RED,BY15938,IL,701 N. Sacramento,(773) 265-7605,7091901
49,04/13/2024,JEEP,LL,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7088555
