,Camera ID,Location Name,Camera Status,Turn on Date,Camera Manufacturer,ATD Location ID,Landmark,Signal Engineer Area,Council District,Jurisdiction,Location Type,Primary St Segment ID,Cross St Segment ID,Primary Street Block,Primary Street,PRIMARY_ST_AKA,Cross Street Block,Cross Street,CROSS_ST_AKA,COA Intersection ID,Modified Date,Published Screenshots,Screenshot Address,Funding,ID,Location
0,458, KOENIG LN / GUADALUPE ST,TURNED_ON,03/10/2018,Advidia,LOC16-000045,,NORTHWEST,4,AUSTIN FULL PURPOSE,ROADWAY,,,600, KOENIG LN,,5510.0, GUADALUPE ST,,5159393.0,11/16/2023 04:04:00 PM,,https://cctv.austinmobility.io/image/458.jpg,1/4 Cent,591a10a320eacf2d16669c45,POINT (-97.723831 30.323502)
1,459, KOENIG LN / WOODROW AVE,TURNED_ON,06/20/2018,Advidia,LOC16-000060,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,1400, KOENIG LN,,5900.0, WOODROW AVE,,5158454.0,12/14/2023 06:35:00 PM,,https://cctv.austinmobility.io/image/459.jpg,1/4 Cent,591a10a320eacf2d16669c47,POINT (-97.73159 30.330872)
2,463, MOPAC EXPY / NORTHLAND DR (East),TURNED_ON,02/28/2018,Advidia,LOC16-002170,East,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,5300, MOPAC EXPY,,3000.0, NORTHLAND DR,,5155147.0,12/05/2023 07:03:00 PM,,https://cctv.austinmobility.io/image/463.jpg,1/4 Cent,591a10a420eacf2d16669c4f,POINT (-97.753723 30.335529)
3,464, BURNET RD / WHITE HORSE TRL,TURNED_ON,07/10/2019,Advidia,LOC16-000405,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,6314, BURNET RD,,2101.0, WHITE HORSE TRL,,5157237.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/464.jpg,2016 Bond,591a10a420eacf2d16669c51,POINT (-97.73925 30.33848)
4,465, BURNET RD / ADAMS AVE,TURNED_ON,07/02/2019,Advidia,LOC16-004710,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,5500, BURNET RD,,5600.0, ADAMS AVE,,5157168.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/465.jpg,None Identified,591a10a420eacf2d16669c53,POINT (-97.739891 30.330071)
5,466, BURNET RD / 49TH ST,TURNED_ON,03/14/2018,Advidia,LOC16-000440,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,4900, BURNET RD,,2101.0, 49TH ST,,5157310.0,12/05/2023 08:02:00 PM,,https://cctv.austinmobility.io/image/466.jpg,1/4 Cent,591a10a420eacf2d16669c55,POINT (-97.739227 30.319857)
6,467, BURNET RD / NORTHCROSS DR,TURNED_ON,07/09/2019,Advidia,LOC16-000450,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,7600, BURNET RD,,7601.0, NORTHCROSS DR,,5158100.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/467.jpg,None Identified,591a10a420eacf2d16669c57,POINT (-97.733246 30.352217)
7,468, BURNET RD / STECK AVE,TURNED_ON,07/09/2019,Advidia,LOC16-000380,,NORTHWEST,"4, 7",AUSTIN FULL PURPOSE,ROADWAY,,,8224, BURNET RD,,2501.0, STECK AVE,,5158619.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/468.jpg,None Identified,591a10a420eacf2d16669c59,POINT (-97.72934 30.361847)
8,469, BURNET RD / RUTLAND DR,TURNED_ON,02/04/2021,Advidia,LOC16-002260,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,10000, BURNET RD,,2401.0, RUTLAND DR,,5159209.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/469.jpg,None Identified,591a10a420eacf2d16669c5b,POINT (-97.724075 30.383427)
9,470, BURNET RD / KRAMER LN,TURNED_ON,07/03/2019,Advidia,LOC16-002275,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,10800, BURNET RD,,2625.0, KRAMER LN,,5159550.0,09/22/2023 04:27:00 PM,,https://cctv.austinmobility.io/image/470.jpg,None Identified,591a10a420eacf2d16669c5d,POINT (-97.720398 30.395203)
