,Maintaining Region,Owning Region,County,Municipality,Device Number,Main Route,Intersecting Route,Location,Device Type,Device Purpose,Device Priority,Maintenance Responsibility,Latitude (UTM Y [Meters]),Longitude (UTM X [Meters])
0,01-Albany,01-Albany,ALBANY,GUILDERLAND-TOWN,01-11-089155,NY 910F,NY 020,Rte 910F @ Rte 20 ITS CAMERA,ITS LOCATIONS,ITS CAMERA LOCATION,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4735219.19,601813.76
1,01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-100,NY 140,Cherry Ave,Rte 140 (KENWOOD AVE) @ CHERRY AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4719963.19,593908.4
2,01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-101 L1,NY 085,NY 140,Rte 85 @ Rte 140 ROUND ABOUT LIGHTING L1 (E) 250W (also L4),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721136.11,593814.99
3,06-Hornell,06-Hornell,ALLEGANY,BOLIVAR-VILLAGE,06-61-56B,NY 417,,SR 417 @ School,BEACON,STANDARD,SELECTIVE RESPONSE 3,LOCAL PUBLIC BODY ( PERMIT ),4661946.49,237896.35
4,04-Rochester,04-Rochester,MONROE,BRIGHTON-TOWN,04-43-50C,Canal Bridge,,Between S Clinton Ave & I 390 NB,NAVIGATION LIGHTS,CANAL,,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4775821.0,288428.0
5,04-Rochester,04-Rochester,MONROE,BRIGHTON-TOWN,04-43-51C,Canal Bridge,,Between S Clinton Ave & I 390 NB,NAVIGATION LIGHTS,CANAL,,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4775856.0,288351.0
6,01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-101 L2,NY 085,NY 140,Rte 85 @ Rte 140 ROUND ABOUT LIGHTING L2 (SE) 400W (also L4),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721124.6,593802.92
7,01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-101 L3,NY 085,NY 140,Rte 85 @ Rte 140 ROUND ABOUT LIGHTING L3 (S) 250W (also L4),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721113.8,593782.34
8,01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-101 L4,NY 085,NY 140,Rte 85 @ Rte 140 ROUND ABOUT LIGHTING L4 (SW) 400W,STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721135.67,593767.42
9,01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-101 L5,NY 085,NY 140,Rte 85 @ Rte 140  ROUND ABOUT LIGHTING L5 (W) 250W (also L4),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721163.19,593750.18
10,01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-101 L6,NY 085,NY 140,Rte 85 @ Rte 140  ROUND ABOUT LIGHTING L6 (NW) 400W (also L4),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721174.77,593768.96
