,PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,VEHICLE_ID,CRASH_DATE,SEAT_NO,CITY,STATE,ZIPCODE,SEX,AGE,DRIVERS_LICENSE_STATE,DRIVERS_LICENSE_CLASS,SAFETY_EQUIPMENT,AIRBAG_DEPLOYED,EJECTION,INJURY_CLASSIFICATION,HOSPITAL,EMS_AGENCY,EMS_RUN_NO,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,PEDPEDAL_ACTION,PEDPEDAL_VISIBILITY,PEDPEDAL_LOCATION,BAC_RESULT,BAC_RESULT VALUE,CELL_PHONE_USE
0,O749947,DRIVER,81dc0de2ed92aa62baccab641fa377be7feb1cc47e6554932773284e51271e820d7a3c2398fa53636ac3b5b9004d27ee725ff26cfe65ce9b7869b67572e8f17d,834816,09/28/2019 03:30:00 AM,,CHICAGO,IL,60651.0,M,25.0,IL,D,NONE PRESENT,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
1,O871921,DRIVER,af84fb5c8d996fcd3aefd36593c3a02e6e7509eeb27568963d242f4b42bd91abfe2e5a046370df528b37a30d594ab2921c37f38f59f7db8863e2e2fa3e9dfa1f,827212,04/13/2020 10:50:00 PM,,CHICAGO,IL,60620.0,M,37.0,IL,,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
2,O10018,DRIVER,71162af7bf22799b776547132ebf134b5b438dcf3dac6b1ccc744e423da96652f8b51ba415f677df81aa76b994674618744fa0547e1216f32cf320324dcc732e,9579,11/01/2015 05:00:00 AM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,IMPROPER BACKING,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
3,O10038,DRIVER,c21c476e2ccc41af550b5d858d22aaac4ffc88745a1700678e3d922c1a6d50e5d9275460ee4a94bc72d2c4de3d30d928d74ca889a4115c4af91431d1823dd9b6,9598,11/01/2015 08:00:00 AM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
4,O10039,DRIVER,eb390a4c8e114c69488f5fb8a097fe629f5a92fd528cf45375fe58ac2e6eef367486fb8192e50f38b770be7fb8c7bb044873f9ad31aa802695adbbd1d79efcf8,9600,11/01/2015 10:15:00 AM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
5,O10041,DRIVER,dd1bce4bd6d0be4c247714dcabab44e6563c62b913229b13a5a6deffd5a6a2765b46c8666a14abc78f359beeee4ff0f60020aaeeb3b8481e9e4f5aa716efa4db,9601,11/01/2015 11:00:00 AM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
6,O10062,DRIVER,4bd2ee6bb306902b99a9c2ae55cf4fcffec00879e3975905e10573ee8d80765ab2b4a6bebceb0b37d9c2f1a402d8bba6254529be0454f75556d7a25d9a8a69c8,9621,11/01/2015 12:30:00 PM,,,,,X,,XX,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
7,O10066,DRIVER,9c03b6fcc6d72cf3ee2cb9ea754ea7e4617ab965142552fdd9b38a439b91863187d6292474f605cf432319e37286514409a023e47c6997a41de96531ec785deb,9623,10/31/2015 04:00:00 PM,,,,,X,,XX,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
8,O1007,DRIVER,2e7e0c1682100a200a46c25a532eda4febb00a2ae49ea9cec972106ad3b8d39b4b1acf20ae18a70c6527b580580a3347f554868bb991d3b8057fb0d6e653f325,958,09/02/2015 02:35:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
9,O10088,DRIVER,8bf8069b3d839b732fd35d2c9d8caddeddbb4b8978e84dbd482913fb9eb3975f04f7b1478820162860452f4680bc99abd1666da13b156a487940f57e104476cf,9645,11/01/2015 01:00:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
10,O10099,DRIVER,97cebeb3688b4853cec46ca3e699acd302b5afcbac91cfab0f3b959ba52aabaa8615eba55d1d06c54fea0273675081399693d4ada78121b68e3d3e0cf6f01d95,9656,11/01/2015 03:40:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,IMPROPER TURN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
11,O1011,DRIVER,e03c3d4b10176ec596836350ba6b7bfa1317e468b724cf6f10f2abfc296d32d5cd0038a120738b84528903588360493ba0c81e230be0ec77b211e36540785de8,963,09/02/2015 02:15:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,IMPROPER TURN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
