,Signal ID,Location Name,Operation State,Operation Text,Operation State Datetime,Processed Datetime,Plan ID,Primary St,Cross St,Location
0,4042, RIATA VISTA CIR / RIATA PARK CT (Tercello (Apple Campus East)),3,Communication issue,07/22/2024 04:50:15 AM,07/22/2024 04:50:22 AM,254, RIATA VISTA CIR, RIATA PARK CT,POINT (-97.734036 30.432902)
1,698, DUVAL RD / JOLLYVILLE RD,3,Communication issue,07/21/2024 03:32:17 PM,07/22/2024 04:50:22 AM,254, DUVAL RD, JOLLYVILLE RD,POINT (-97.750038 30.417286)
2,439,FM 2222 RD / NORTHLAND DR,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,1,FM 2222 RD, NORTHLAND DR,POINT (-97.758942 30.338467)
3,997,9700 BLK ANDERSON MILL RD (Bethany),3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,7, ANDERSON MILL RD,,POINT (-97.797707 30.44696)
4,869, ANDERSON MILL RD / SPICEWOOD PKWY,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,1, ANDERSON MILL RD, SPICEWOOD PKWY,POINT (-97.807236 30.447157)
5,881, ST ELMO RD / WOODWARD ST,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,0, ST ELMO RD, WOODWARD ST,POINT (-97.747315 30.210224)
6,744, OLD LAMPASAS TRL / SPICEWOOD SPRINGS RD (SCOTLAND WELL DR),3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,254, OLD LAMPASAS TRL, SPICEWOOD SPRINGS RD,POINT (-97.79361 30.422527)
7,1004,US 290 HWY / W 290 WB AT JOE TANNER TRN,3,Communication issue,04/11/2023 02:19:01 PM,07/22/2024 04:50:22 AM,1,US 290 HWY, W 290 WB AT JOE TANNER TRN,POINT (-97.858627 30.235098)
8,4047,12500 BLK N LAMAR BLVD (Connally High School),3,Communication issue,07/22/2024 04:50:15 AM,07/22/2024 04:50:22 AM,254, LAMAR BLVD,,POINT (-97.675247 30.418306)
9,607, OAK KNOLL DR / RESEARCH BLVD SVRD,3,Communication issue,07/21/2024 03:32:17 PM,07/22/2024 04:50:22 AM,254, OAK KNOLL DR, RESEARCH BLVD SVRD,POINT (-97.759049 30.42947)
10,1069,US 290 HWY / OLD BEE CAVES RD,3,Communication issue,08/14/2023 07:06:45 AM,07/22/2024 04:50:22 AM,2,US 290 HWY, OLD BEE CAVES RD,POINT (-97.871231 30.233981)
11,408, CONGRESS AVE / SHERATON AVE,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,2, CONGRESS AVE, SHERATON AVE,POINT (-97.768776 30.215157)
12,796, WELLS BRANCH PKWY / 35 SVRD,4,Dark Traffic Signal (No Power),07/21/2024 10:11:00 PM,07/22/2024 04:50:22 AM,-1, WELLS BRANCH PKWY,IH 35 SVRD,POINT (-97.667763 30.440731)
13,942,FM 2222 RD / MESA DR,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,11,FM 2222 RD, MESA DR,POINT (-97.769638 30.341314)
14,814, FREIDRICH LN / TERI RD,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,254, FREIDRICH LN, TERI RD,POINT (-97.753937 30.203291)
15,4035,5400 BLK TERCELLO LN (Delacour Dr (Apple Campus)),3,Communication issue,07/22/2024 04:50:01 AM,07/22/2024 04:50:22 AM,254, TERCELLO LN,,POINT (-97.735697 30.433213)
