,ID,SegmentID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
0,1,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/09/2012,20,10,11,14,13,20,34,66,100,52,68,85,85.0,94.0,104.0,105.0,147.0,120.0,91.0,83.0,74.0,49.0,42.0,42.0
1,2,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/10/2012,21,16,8,6,13,13,31,70,67,45,57,67,73.0,95.0,102.0,98.0,133.0,131.0,95.0,73.0,70.0,63.0,42.0,35.0
2,3,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/11/2012,27,14,6,5,12,16,34,75,69,71,67,70,90.0,89.0,115.0,115.0,130.0,143.0,106.0,89.0,68.0,64.0,56.0,43.0
3,4,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/12/2012,22,7,7,8,11,12,33,75,89,66,70,60,105.0,103.0,71.0,127.0,122.0,144.0,122.0,76.0,64.0,58.0,64.0,43.0
4,5,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/13/2012,31,17,7,5,13,28,29,68,84,64,83,89,88.0,113.0,113.0,126.0,133.0,135.0,102.0,106.0,58.0,58.0,55.0,54.0
5,6,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/14/2012,42,27,21,18,21,13,17,18,46,53,29,0,,,,,,,,,,,,
6,7,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,SB,01/09/2012,27,12,12,4,22,27,66,154,155,138,105,124,140.0,120.0,165.0,197.0,152.0,174.0,128.0,95.0,87.0,73.0,57.0,42.0
7,8,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,SB,01/10/2012,26,16,11,13,16,27,59,156,177,131,107,108,122.0,131.0,192.0,180.0,161.0,171.0,120.0,96.0,90.0,70.0,63.0,49.0
8,9,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,SB,01/11/2012,32,16,8,9,15,26,63,169,178,148,139,131,126.0,137.0,178.0,194.0,168.0,160.0,143.0,114.0,78.0,64.0,49.0,45.0
9,10,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,SB,01/12/2012,24,12,7,18,11,23,61,146,177,128,117,111,134.0,134.0,171.0,184.0,157.0,167.0,148.0,112.0,86.0,77.0,63.0,51.0
10,11,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,SB,01/13/2012,39,22,8,6,16,30,77,147,187,155,156,159,155.0,145.0,197.0,181.0,152.0,159.0,145.0,126.0,95.0,87.0,72.0,69.0
11,12,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,SB,01/14/2012,45,45,28,23,21,19,32,56,67,109,74,0,,,,,,,,,,,,
12,13,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,EB,01/09/2012,21,11,2,3,11,29,117,511,328,156,129,144,159.0,163.0,281.0,251.0,218.0,219.0,175.0,150.0,102.0,77.0,49.0,36.0
