,X,Y,OBJECTID,DISTRICT,ROUTE,ROUTE_SFX,COUNTY,PM_PFX,PM,PM_SFX,LOCATION_DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT
0,-13424226.5939,4921397.8962,1,2,36,,LAS,,46.481,X,"JOHNSTONVILLE, JCT. RTE. 395",1050.0,9400.0,8300.0,,,
1,-13424226.5939,4921397.8962,2,2,36,,LAS,,46.481,X,"JOHNSTONVILLE, JCT. RTE. 395",1050.0,9400.0,8300.0,,,
2,-13641599.3674,4590625.7002,3,4,37,,MRN,,0.0,X,"JCT RTE 251,BEGIN RTE",,,,4700.0,56000.0,47000.0
3,-13641782.3238,4590731.964,4,4,37,,MRN,,0.0,X,"JCT RTE 251,BEGIN RTE",,,,4700.0,56000.0,47000.0
4,-13641599.8264,4590627.8218,5,4,37,,MRN,R,11.2,X,"NOVATO, JCT. RTE. 101",4700.0,56000.0,47000.0,,,
5,-13641781.36,4590733.8197,6,4,37,,MRN,R,11.2,X,"NOVATO, JCT. RTE. 101",4700.0,56000.0,47000.0,,,
6,-13017982.7293,3860791.3808,7,11,54,,SD,T,10.993,X,JCT. RTE. 94,9300.0,116000.0,113000.0,3650.0,42500.0,42000.0
7,-13017982.7293,3860791.3808,8,11,54,,SD,T,10.993,X,JCT. RTE. 94,9300.0,116000.0,113000.0,3650.0,42500.0,42000.0
8,-13098957.0834,3957469.0438,9,12,1,,ORA,R,0.129,,"DANA POINT, JCT. RTE. 5",,,,4250.0,42000.0,38250.0
9,-13098944.5466,3957457.4124,10,12,1,,ORA,R,0.129,,"DANA POINT, JCT. RTE. 5",,,,4250.0,42000.0,38250.0
10,-13099952.9941,3957079.0899,11,12,1,,ORA,R,0.78,,"DANA POINT, DOHENY PARK ROAD",4250.0,42000.0,38900.0,4350.0,43500.0,38900.0
11,-13099957.5584,3957066.4191,12,12,1,,ORA,R,0.78,,"DANA POINT, DOHENY PARK ROAD",4250.0,42000.0,38900.0,4350.0,43500.0,38900.0
12,-13100521.8036,3957089.5905,13,12,1,,ORA,R,1.077,,BREAK IN RTE,,,,,,
13,-13100522.6645,3957077.2869,14,12,1,,ORA,R,1.077,,BREAK IN RTE,,,,,,
14,-13110639.7189,3966100.185,15,12,1,,ORA,,8.43,,"LAGUNA BEACH, MOUNTAIN ROAD",3200.0,40500.0,37900.0,3200.0,40500.0,37900.0
15,-13110639.719,3966100.185,16,12,1,,ORA,,8.43,,"LAGUNA BEACH, MOUNTAIN ROAD",3200.0,40500.0,37900.0,3200.0,40500.0,37900.0
16,-13111803.0241,3967567.6231,17,12,1,,ORA,,9.418,,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3400.0,43000.0,38800.0,3850.0,43000.0,38800.0
17,-13111803.0241,3967567.6231,18,12,1,,ORA,,9.418,,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3400.0,43000.0,38800.0,3850.0,43000.0,38800.0
18,-13112135.323,3967720.6808,19,12,1,,ORA,,9.6,,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3750.0,41000.0,38500.0,3750.0,41000.0,38500.0
19,-13112138.5853,3967708.8388,20,12,1,,ORA,,9.6,,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3750.0,41000.0,38500.0,3750.0,41000.0,38500.0
20,-13115284.6814,3969451.063,21,12,1,,ORA,,11.5,,"LAGUNA BEACH, NORTH CITY LIMITS",3550.0,39500.0,36800.0,3600.0,40500.0,36800.0
21,-13115290.7426,3969438.9723,22,12,1,,ORA,,11.5,,"LAGUNA BEACH, NORTH CITY LIMITS",3550.0,39500.0,36800.0,3600.0,40500.0,36800.0
22,-13119090.7569,3973133.4496,23,12,1,,ORA,,14.057,,BREAK IN RTE,,,,,,
23,-13119103.5188,3973117.5634,24,12,1,,ORA,,14.057,,BREAK IN RTE,,,,,,
24,-13124672.6936,3977403.4174,25,12,1,,ORA,R,18.073,,"NEWPORT BEACH, BAYSIDE DRIVE",4550.0,52000.0,47200.0,5500.0,62000.0,56500.0
25,-13124666.3532,3977380.8521,26,12,1,,ORA,R,18.073,,"NEWPORT BEACH, BAYSIDE DRIVE",4550.0,52000.0,47200.0,5500.0,62000.0,56500.0
26,-13125369.96,3977389.9398,27,12,1,,ORA,R,18.446,,"NEWPORT BEACH, DOVER DRIVE",4850.0,55000.0,50200.0,4850.0,55000.0,50200.0
27,-13125369.96,3977389.9398,28,12,1,,ORA,R,18.446,,"NEWPORT BEACH, DOVER DRIVE",4850.0,55000.0,50200.0,4850.0,55000.0,50200.0
28,-13127803.0745,3978061.7351,29,12,1,,ORA,,19.797,,"NEWPORT BEACH, JCT. RTE. 55",4950.0,56000.0,49600.0,5900.0,54000.0,49600.0
29,-13127803.7203,3978048.0156,30,12,1,,ORA,,19.797,,"NEWPORT BEACH, JCT. RTE. 55",4950.0,56000.0,49600.0,5900.0,54000.0,49600.0
30,-13128935.6239,3978297.8383,31,12,1,,ORA,,20.37,,"NEWPORT BEACH, BALBOA BOULEVARD/SUPERIOR AVENUE",6000.0,54000.0,50600.0,6000.0,54000.0,50600.0
31,-13128939.5166,3978273.2925,32,12,1,,ORA,,20.37,,"NEWPORT BEACH, BALBOA BOULEVARD/SUPERIOR AVENUE",6000.0,54000.0,50600.0,6000.0,54000.0,50600.0
32,-13130849.3466,3979307.5692,33,12,1,,ORA,,21.549,,SANTA ANA RIVER BRIDGE,4650.0,42500.0,38800.0,4650.0,42500.0,39800.0
33,-13130856.7658,3979292.0497,34,12,1,,ORA,,21.549,,SANTA ANA RIVER BRIDGE,4650.0,42500.0,38800.0,4650.0,42500.0,39800.0
34,-13131705.2849,3979942.2212,35,12,1,,ORA,,22.09,,"HUNTINGTON BEACH, BROOKHURST STREET",4750.0,43000.0,40300.0,4800.0,43000.0,40300.0
35,-13131714.694,3979927.0139,36,12,1,,ORA,,22.09,,"HUNTINGTON BEACH, BROOKHURST STREET",4750.0,43000.0,40300.0,4800.0,43000.0,40300.0
36,-13134391.4541,3981724.403,37,12,1,,ORA,,23.739,,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH",4400.0,40000.0,38300.0,4400.0,40000.0,37200.0
37,-13134392.9996,3981697.0047,38,12,1,,ORA,,23.739,,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH",4400.0,40000.0,38300.0,4400.0,40000.0,37200.0
38,-13137633.3349,3984352.6899,39,12,1,,ORA,,25.89,,"HUNTINGTON BEACH, GOLDENWEST STREET",4500.0,41000.0,38200.0,4500.0,41000.0,38200.0
39,-13137641.3179,3984340.1708,40,12,1,,ORA,,25.89,,"HUNTINGTON BEACH, GOLDENWEST STREET",4500.0,41000.0,38200.0,4500.0,41000.0,38200.0
40,-13142708.8904,3990143.1559,41,12,1,,ORA,,29.89,,"SUNSET BEACH, WARNER AVENUE",5500.0,49000.0,45700.0,4850.0,44000.0,41200.0
41,-13142728.4711,3990142.1096,42,12,1,,ORA,,29.89,,"SUNSET BEACH, WARNER AVENUE",5500.0,49000.0,45700.0,4850.0,44000.0,41200.0
42,-13146316.4033,3994057.0639,43,12,1,,ORA,,32.714,,SEAL BEACH BOULEVARD,4600.0,41500.0,39200.0,4850.0,44000.0,41200.0
43,-13146326.5035,3994044.422,44,12,1,,ORA,,32.714,,SEAL BEACH BOULEVARD,4600.0,41500.0,39200.0,4850.0,44000.0,41200.0
44,-13146328.3335,3994062.9914,45,12,1,,ORA,,32.721,,"SEAL BEACH, SEAL BEACH BOULVARD",4850.0,50000.0,47300.0,4900.0,51000.0,47300.0
45,-13146338.5147,3994050.2718,46,12,1,,ORA,,32.721,,"SEAL BEACH, SEAL BEACH BOULVARD",4850.0,50000.0,47300.0,4900.0,51000.0,47300.0
46,-13147491.4774,3995418.197,47,12,1,,ORA,,33.719,,LOS ANGELES/ORANGE COUNTY LINE,4550.0,47500.0,43800.0,,,
47,-13147504.9078,3995409.1753,48,12,1,,ORA,,33.719,,LOS ANGELES/ORANGE COUNTY LINE,4550.0,47500.0,43800.0,,,
48,-13147491.4774,3995418.197,49,7,1,,LA,,0.0,,LOS ANGELES/ORANGE COUNTY LINE,,,,2650.0,44000.0,40500.0
49,-13147504.9078,3995409.1753,50,7,1,,LA,,0.0,,LOS ANGELES/ORANGE COUNTY LINE,,,,2650.0,44000.0,40500.0
