,Year,Value,Measure,Metric,Table,Source,Notes,MeasureNum,metricNum,date,id
0,2021,3.469,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2021_1_5
1,2020,2.685,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2020_1_5
2,2019,,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2019_1_5
3,2018,,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2018_1_5
4,2017,,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2017_1_5
5,2016,,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2016_1_5
6,2015,,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2015_1_5
7,2014,3.986,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2014_1_5
8,2013,3.932,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2013_1_5
9,2012,3.971,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2012_1_5
