,Date,Zip Code,Model Year,Fuel,Make,Duty,Vehicles
0,12/31/2022,90000,2010,Gasoline,OTHER/UNK,Light,1
1,12/31/2022,90000,2012,Hybrid Gasoline,OTHER/UNK,Light,1
2,12/31/2022,90000,2013,Gasoline,OTHER/UNK,Light,1
3,12/31/2022,90000,<2009,Gasoline,OTHER/UNK,Heavy,19
4,12/31/2022,90000,<2009,Gasoline,OTHER/UNK,Light,16
5,12/31/2022,90000,<2009,Gasoline,OTHER/UNK,Unk,7
6,12/31/2022,90000,<2009,Gasoline,FORD,Light,19
7,12/31/2022,90000,<2009,Gasoline,PLYMOUTH,Light,35
8,12/31/2022,90000,<2009,Gasoline,CHEVROLET,Light,20
9,12/31/2022,90000,<2009,Unk,OTHER/UNK,Unk,21
10,12/31/2022,90000,<2009,Unk,Unk,Unk,96
11,12/31/2022,90000,<2009,Unk,FORD,Unk,13
12,12/31/2022,90000,<2009,Unk,PLYMOUTH,Unk,24
13,12/31/2022,90000,<2009,Unk,GMC,Unk,12
14,12/31/2022,90000,<2009,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,16
15,12/31/2022,90000,<2009,Diesel and Diesel Hybrid,OTHER/UNK,Light,1
16,12/31/2022,90000,<2009,Diesel and Diesel Hybrid,WHITE,Heavy,19
17,12/31/2022,90001,2008,Gasoline,OTHER/UNK,Heavy,6
18,12/31/2022,90001,2008,Gasoline,OTHER/UNK,Light,62
19,12/31/2022,90001,2008,Gasoline,OTHER/UNK,Unk,36
20,12/31/2022,90001,2008,Gasoline,FORD,Light,63
21,12/31/2022,90001,2008,Gasoline,GMC,Light,25
22,12/31/2022,90001,2008,Gasoline,CHEVROLET,Light,87
23,12/31/2022,90001,2008,Gasoline,CHEVROLET,Unk,11
24,12/31/2022,90001,2008,Gasoline,INFINITI,Light,38
25,12/31/2022,90001,2008,Gasoline,MERCEDES-BENZ,Light,18
26,12/31/2022,90001,2008,Gasoline,VOLKSWAGEN,Light,11
27,12/31/2022,90001,2008,Gasoline,DODGE,Light,30
28,12/31/2022,90001,2008,Gasoline,JEEP,Light,26
29,12/31/2022,90001,2008,Gasoline,ACURA,Light,18
30,12/31/2022,90001,2008,Gasoline,HONDA,Light,190
31,12/31/2022,90001,2008,Gasoline,HONDA,Unk,16
32,12/31/2022,90001,2008,Gasoline,CHRYSLER,Light,21
33,12/31/2022,90001,2008,Gasoline,CADILLAC,Light,18
34,12/31/2022,90001,2008,Gasoline,NISSAN,Light,126
35,12/31/2022,90001,2008,Gasoline,TOYOTA,Light,185
36,12/31/2022,90001,2008,Gasoline,TOYOTA,Unk,31
37,12/31/2022,90001,2008,Gasoline,MAZDA,Light,19
38,12/31/2022,90001,2008,Gasoline,BMW,Light,43
39,12/31/2022,90001,2008,Gasoline,HYUNDAI,Light,15
40,12/31/2022,90001,2008,Gasoline,LEXUS,Light,30
41,12/31/2022,90001,2008,Gasoline,KIA,Light,13
42,12/31/2022,90001,2008,Gasoline,SCION,Light,51
43,12/31/2022,90001,2008,Hybrid Gasoline,OTHER/UNK,Light,22
44,12/31/2022,90001,2008,Hybrid Gasoline,TOYOTA,Light,34
45,12/31/2022,90001,2008,Unk,OTHER/UNK,Unk,3
46,12/31/2022,90001,2008,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,36
47,12/31/2022,90001,2008,Diesel and Diesel Hybrid,OTHER/UNK,Light,5
48,12/31/2022,90001,2008,Diesel and Diesel Hybrid,OTHER/UNK,Unk,7
49,12/31/2022,90001,2008,Flex-Fuel,OTHER/UNK,Heavy,1
50,12/31/2022,90001,2008,Flex-Fuel,OTHER/UNK,Light,9
51,12/31/2022,90001,2008,Flex-Fuel,OTHER/UNK,Unk,13
52,12/31/2022,90001,2008,Flex-Fuel,CHEVROLET,Light,28
53,12/31/2022,90001,2009,Gasoline,OTHER/UNK,Heavy,2
54,12/31/2022,90001,2009,Gasoline,OTHER/UNK,Light,64
55,12/31/2022,90001,2009,Gasoline,OTHER/UNK,Unk,33
56,12/31/2022,90001,2009,Gasoline,FORD,Light,44
57,12/31/2022,90001,2009,Gasoline,GMC,Light,11
58,12/31/2022,90001,2009,Gasoline,CHEVROLET,Light,44
59,12/31/2022,90001,2009,Gasoline,INFINITI,Light,18
60,12/31/2022,90001,2009,Gasoline,MERCEDES-BENZ,Light,16
61,12/31/2022,90001,2009,Gasoline,DODGE,Light,23
62,12/31/2022,90001,2009,Gasoline,ACURA,Light,16
63,12/31/2022,90001,2009,Gasoline,HONDA,Light,141
64,12/31/2022,90001,2009,Gasoline,NISSAN,Light,92
65,12/31/2022,90001,2009,Gasoline,TOYOTA,Light,233
66,12/31/2022,90001,2009,Gasoline,BMW,Light,17
67,12/31/2022,90001,2009,Gasoline,HYUNDAI,Light,14
68,12/31/2022,90001,2009,Gasoline,LEXUS,Light,31
69,12/31/2022,90001,2009,Gasoline,KIA,Light,11
70,12/31/2022,90001,2009,Gasoline,SCION,Light,29
71,12/31/2022,90001,2009,Gasoline,PONTIAC,Light,11
72,12/31/2022,90001,2009,Hybrid Gasoline,OTHER/UNK,Light,6
73,12/31/2022,90001,2009,Hybrid Gasoline,TOYOTA,Light,14
74,12/31/2022,90001,2009,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,12
75,12/31/2022,90001,2009,Diesel and Diesel Hybrid,OTHER/UNK,Light,3
76,12/31/2022,90001,2009,Diesel and Diesel Hybrid,FREIGHTLINER,Heavy,12
77,12/31/2022,90001,2009,Flex-Fuel,OTHER/UNK,Heavy,1
78,12/31/2022,90001,2009,Flex-Fuel,OTHER/UNK,Light,26
79,12/31/2022,90001,2009,Flex-Fuel,OTHER/UNK,Unk,6
80,12/31/2022,90001,2009,Flex-Fuel,CHEVROLET,Light,22
81,12/31/2022,90001,2009,Natural Gas,OTHER/UNK,Heavy,2
82,12/31/2022,90001,2010,Gasoline,OTHER/UNK,Heavy,2
83,12/31/2022,90001,2010,Gasoline,OTHER/UNK,Light,61
84,12/31/2022,90001,2010,Gasoline,OTHER/UNK,Unk,24
85,12/31/2022,90001,2010,Gasoline,FORD,Light,68
86,12/31/2022,90001,2010,Gasoline,CHEVROLET,Light,41
87,12/31/2022,90001,2010,Gasoline,MERCEDES-BENZ,Light,25
88,12/31/2022,90001,2010,Gasoline,VOLKSWAGEN,Light,18
89,12/31/2022,90001,2010,Gasoline,DODGE,Light,35
90,12/31/2022,90001,2010,Gasoline,JEEP,Light,17
91,12/31/2022,90001,2010,Gasoline,ACURA,Light,15
