,Transaction Count,Calendar Year,Fiscal Year,Transaction Type,Vehicle Primary Use,Vehicle Type,Gross Vehicle Weight Rating Class,Gross Vehicle Weight Rating Range (Pounds),Electrification Level,County,State
0,1,2017,2017,Original Registration,Passenger,BUS,2.0,"6,001 - 10,000",ICE (Internal Combustion Engine),Asotin,WA
1,1,2017,2017,Original Registration,Passenger,BUS,,,ICE (Internal Combustion Engine),Asotin,WA
2,1,2017,2017,Original Registration,Passenger,BUS,,,ICE (Internal Combustion Engine),Benton,WA
3,1,2017,2017,Original Registration,Passenger,BUS,2.0,"6,001 - 10,000",ICE (Internal Combustion Engine),Columbia,WA
4,1,2017,2017,Original Registration,Passenger,BUS,,,ICE (Internal Combustion Engine),Cowlitz,WA
5,3,2017,2017,Original Registration,Passenger,BUS,2.0,"6,001 - 10,000",ICE (Internal Combustion Engine),Unknown or Out of State,CA
6,1,2017,2017,Original Registration,Passenger,BUS,2.0,"6,001 - 10,000",ICE (Internal Combustion Engine),Douglas,WA
7,7,2017,2017,Original Registration,Passenger,BUS,2.0,"6,001 - 10,000",ICE (Internal Combustion Engine),Island,WA
8,13,2017,2017,Original Registration,Passenger,BUS,2.0,"6,001 - 10,000",ICE (Internal Combustion Engine),Chelan,WA
9,1,2017,2017,Original Registration,Passenger,BUS,2.0,"6,001 - 10,000",ICE (Internal Combustion Engine),Adams,WA
10,12,2017,2017,Original Registration,Passenger,BUS,2.0,"6,001 - 10,000",ICE (Internal Combustion Engine),Grant,WA
11,1,2017,2017,Original Registration,Passenger,BUS,2.0,"6,001 - 10,000",ICE (Internal Combustion Engine),Pacific,WA
12,1,2017,2017,Original Registration,Passenger,BUS,2.0,"6,001 - 10,000",ICE (Internal Combustion Engine),Skamania,WA
13,10,2017,2017,Original Registration,Passenger,BUS,2.0,"6,001 - 10,000",ICE (Internal Combustion Engine),Clallam,WA
