,Fiscal Year,Transaction Date,Transaction County,Residential County,Fuel Type,Primary Use Class,Counts
0,2017,01/31/2017,Clark,Pierce,Diesel,Truck,3
1,2017,01/31/2017,King,Clallam,Electric,Passenger,1
2,2017,01/31/2017,Kittitas,Kittitas,Diesel,Logging,1
3,2017,01/31/2017,Asotin,Lincoln,Gasoline,Passenger,2
4,2017,01/31/2017,King,Clark,Unpowered,Commercial,12
5,2017,01/31/2017,Thurston,Whitman,Gasoline,Passenger,3
6,2017,01/31/2017,Thurston,Grays Harbor,Unpowered,Combination (Non-Farm Use),1
7,2017,01/31/2017,Lewis,Skagit,Gasoline,Passenger,1
8,2017,01/31/2017,Stevens,Wahkiakum,Gasoline,Truck,1
9,2017,01/31/2017,Walla Walla,Walla Walla,Unpowered,Private Use Trailer,241
10,2017,01/31/2017,Wahkiakum,Out Of State,Gasoline,Passenger,2
11,2017,01/31/2017,Clark,Okanogan,Gasoline,Truck,1
12,2017,01/31/2017,King,Whitman,Gasoline,Passenger,30
13,2017,01/31/2017,Grant,Stevens,Gasoline,Passenger,2
14,2017,01/31/2017,Pend Oreille,Pend Oreille,Diesel,Farm Use,1
15,2017,01/31/2017,Yakima,Whatcom,Gasoline,Passenger,2
16,2017,01/31/2017,Clallam,Clallam,Hybrid,Passenger,69
17,2017,01/31/2017,Pierce,Jefferson,Gasoline,Passenger,26
18,2017,01/31/2017,King,Chelan,Diesel,Commercial,1
19,2017,01/31/2017,Cowlitz,Clark,Diesel,Farm Exempt,1
20,2017,01/31/2017,Pierce,Clallam,Diesel,Commercial,7
21,2017,01/31/2017,Stevens,Lincoln,Gasoline,Truck,1
22,2017,01/31/2017,Grays Harbor,Pacific,Unpowered,Travel Trailer,4
23,2017,01/31/2017,Snohomish,Chelan,Gasoline,All Terrain Vehicle (WATV),1
24,2017,01/31/2017,Clark,King,Unpowered,Commercial,1
25,2017,01/31/2017,Clark,Pierce,Hybrid,Passenger,5
26,2017,01/31/2017,Spokane,Spokane,Hybrid,Passenger,203
27,2017,01/31/2017,Whitman,Pierce,Gasoline,Motorcycle,1
28,2017,01/31/2017,Grant,Kitsap,Gasoline,Passenger,1
29,2017,01/31/2017,Lincoln,Okanogan,Gasoline,Motorhome,1
30,2017,01/31/2017,Franklin,Walla Walla,Gasoline,All Terrain Vehicle (WATV),5
31,2017,01/31/2017,King,Chelan,Gasoline,Passenger,112
32,2017,01/31/2017,Thurston,Lewis,Diesel,Combination (Non-Farm Use),1
33,2017,01/31/2017,Department of Licensing - HQ,Mason,Gasoline,Truck,2
34,2017,01/31/2017,Douglas,Kittitas,Gasoline,Truck,1
35,2017,01/31/2017,Adams,Lincoln,Gasoline,Farm Use,2
36,2017,01/31/2017,Snohomish,Jefferson,Diesel,Commercial,1
37,2017,01/31/2017,Thurston,Thurston,Diesel,Commercial,117
38,2017,01/31/2017,Asotin,Out Of State,Unpowered,Passenger,1
39,2017,01/31/2017,Kittitas,Kittitas,Unpowered,Logging,1
40,2017,01/31/2017,Snohomish,King,Gasoline,Moped,1
41,2017,01/31/2017,Clallam,Grant,Gasoline,Truck,1
42,2017,01/31/2017,Kitsap,Kitsap,Diesel,Passenger,118
43,2017,01/31/2017,Whatcom,Snohomish,Gasoline,Passenger,91
44,2017,01/31/2017,Pierce,Lewis,Diesel,Combination (Non-Farm Use),1
45,2017,01/31/2017,Pend Oreille,Pend Oreille,Diesel,Passenger,1
46,2017,01/31/2017,Department of Licensing - HQ,Thurston,Gasoline,Truck,97
47,2017,01/31/2017,Spokane,Ferry,Gasoline,Passenger,30
