,the_geom,Site_Serve,EventDate,Activity,LONG,LAT,X,Y
0,POINT (-73.84220405381097 40.884010383007215),Bay Eden Senior Center,2/14/2020,Seniors - Streetwise,-73.8422040538,40.884010383,1027882.99999,261385.999915
1,POINT (-73.9535278273121 40.580185276244066),Brighton Manhattan Beach Senior Center,2/26/2020,Seniors - Streetwise,-73.9535278273,40.5801852762,997159.000089,150656.999917
2,POINT (-73.75320673026553 40.59376071300478),Brookdale Village Senior Center,2/25/2020,Seniors - Streetwise,-73.7532067303,40.593760713,1052790.00005,155696.00001
3,POINT (-73.93903729712845 40.80170327257149),East Harlem Senior Center,2/20/2020,Seniors - Streetwise,-73.9390372971,40.8017032726,1001128.00002,231364.999918
4,POINT (-73.9796249660527 40.577346508036584),JASA Luna Park Senior Center,2/27/2020,Seniors - Streetwise,-73.9796249661,40.577346508,989910.000151,149620.000023
5,POINT (-73.85186909890447 40.82958746401429),JASA Mechler Hall Senior Center,2/24/2020,Seniors - Streetwise,-73.8518690989,40.829587464,1025244.00002,241552.999883
6,POINT (-73.78913620491659 40.70619300062292),JSPOA Friendship Center,2/12/2020,Seniors - Streetwise,-73.7891362049,40.7061930006,1042712.99986,196632.000158
7,POINT (-73.95096519571231 40.68730230222803),Louis Armstrong Social Club,2/7/2020,Seniors - Streetwise,-73.9509651957,40.6873023022,997849.000021,189682.999949
8,POINT (-73.91022563741352 40.61886400958284),Mill Basin Senior Center,2/3/2020,Seniors - Streetwise,-73.9102256374,40.6188640096,1009173.00001,164757.99993
9,POINT (-73.90182099650694 40.82281195236764),PSS Davidson Center,2/21/2020,Seniors - Streetwise,-73.9018209965,40.8228119524,1011423.0001,239064.999938
10,POINT (-73.77064063086992 40.67262191799734),Rochdale Village Senior Center,2/12/2020,Seniors - Streetwise,-73.7706406309,40.672621918,1047873.00004,184413.999988
11,POINT (-73.79572549135439 40.67452192005513),Rockaway Boulevard Senior Center,2/18/2020,Seniors - Streetwise,-73.7957254914,40.6745219201,1040912.99985,185088.999951
12,POINT (-73.79410812822114 40.70445632609544),Theodora Jackson Senior Center,2/18/2020,Seniors - Streetwise,-73.7941081282,40.7044563261,1041335.99999,195996.000118
13,POINT (-73.94877544827177 40.68866549946229),Tompkins Park Center,2/19/2020,Seniors - Streetwise,-73.9487754483,40.6886654995,998456.000119,190179.999939
14,POINT (-73.91799496971774 40.82143850626989),Andrew Jackson Senior Center,1/15/2020,Seniors - Streetwise,-73.9179949697,40.8214385063,1006946.99987,238559.999964
15,POINT (-73.75655945292667 40.749688161076044),Bayside Senior Center,1/28/2020,Seniors - Streetwise,-73.7565594529,40.7496881611,1051700.99993,212501.999914
16,POINT (-73.90494817155785 40.662169766462135),Catholic Charities RAPP at Brownsville Program,1/14/2020,Seniors - Streetwise,-73.9049481716,40.6621697665,1010621.00007,180536.999868
17,POINT (-73.99828642911754 40.719689985247975),CPC Open Door Senior Center,1/8/2020,Seniors - Streetwise,-73.9982864291,40.7196899852,984725.000022,201478.999979
18,POINT (-73.82788000532867 40.76082601254404),Flushing Adult Daycare Center,1/16/2020,Seniors - Streetwise,-73.8278800053,40.7608260125,1031932.0001,216513.000095
19,POINT (-73.9834872045823 40.724483907052765),GOLES Senior Program,1/8/2020,Seniors - Streetwise,-73.9834872046,40.7244839071,988827.00002,203226.000094
20,POINT (-73.79057864400794 40.7085780954005),Internation Towers Senior Center,1/17/2020,Seniors - Streetwise,-73.790578644,40.7085780954,1042311.00001,197500.000063
21,POINT (-73.8796864972161 40.73720456743378),Newtown Senior Center,1/24/2020,Seniors - Streetwise,-73.8796864972,40.7372045674,1017591.9999,207882.999966
22,POINT (-73.97962462164114 40.74368284128029),NYPL Kips Bay Branch,1/15/2020,Seniors - Streetwise,-73.9796246216,40.7436828413,989895.999851,210220.999883
23,POINT (-73.9812012575069 40.66841893461858),Park Slope Center for Successful Aging,1/29/2020,Seniors - Streetwise,-73.9812012575,40.6684189346,989465.000057,182799.999935
