,the_geom,street,postvz_sl,postvz_sg,Shape_Leng
0,"MULTILINESTRING ((-74.08894825865312 40.63482169618881, -74.088733173282 40.63457472379742))",WEBSTER AVENUE,25,NO,107.981259618
1,"MULTILINESTRING ((-73.7167189484274 40.75843060248281, -73.7166262122089 40.75842148637174))",NORTH SHORE TOWER DRIVEWAY,25,NO,25.9052333388
2,"MULTILINESTRING ((-73.87910739787667 40.740445078378194, -73.87863239384433 40.74005996277735))",BROADWAY,25,YES,192.388411338
3,"MULTILINESTRING ((-73.8184907703746 40.82251074001886, -73.81836785199494 40.822547998173626))",DEWEY AVENUE,25,NO,36.6284813477
4,"MULTILINESTRING ((-73.91416694745106 40.823578201874774, -73.91405686783098 40.823783514949305))",MELROSE AVENUE,25,NO,80.7693614154
5,"MULTILINESTRING ((-73.89962416797758 40.88960084439958, -73.89964739655663 40.889597800243195, -73.89967054613213 40.88959442463471, -73.89969360721096 40.889590717565866, -73.89971657267061 40.889586680831535, -73.89973943301527 40.88958231622448, -73.89976218112236 40.88957762553956, -73.89978480868548 40.88957260876957, -73.89980730739143 40.889567270409856, -73.89982966893503 40.88956160955281, -73.89985188737639 40.88955563069576, -73.89987395203444 40.889549334729985, -73.89989585578672 40.88954272345045, -73.89991759269601 40.88953579955348, -73.89993915207721 40.88952856663183))",WEST 242 STREET,25,NO,91.2485833822
6,"MULTILINESTRING ((-73.9288061721286 40.8098990935242, -73.92800157355548 40.810474521761016))",3 AVENUE,25,NO,305.878731752
7,"MULTILINESTRING ((-73.99432811759645 40.769846076599116, -73.99422912548732 40.770610031667935))",JOE DIMAGGIO HIGHWAY,30,YES,279.681612199
8,"MULTILINESTRING ((-73.96790948392062 40.64959937434547, -73.96702809233459 40.649947274150364))",CATON AVENUE,25,YES,275.469404996
9,"MULTILINESTRING ((-73.72158137629866 40.738647449598204, -73.7208224728474 40.736600351254566))",247 STREET,25,NO,774.907644394
10,"MULTILINESTRING ((-73.74006726970994 40.66983790096807, -73.7392855937305 40.66955115470091))",FRANCIS LEWIS BOULEVARD,25,YES,240.695902655
11,"MULTILINESTRING ((-73.75282604333972 40.67726824787645, -73.7531407566367 40.67662892521215))",218 STREET,25,NO,248.744175409
12,"MULTILINESTRING ((-73.94291014788696 40.585405638697374, -73.94191610443627 40.58552017248409))",SHORE PARKWAY,25,YES,279.238075647
13,"MULTILINESTRING ((-74.20658074997125 40.52396246213336, -74.20655900777166 40.52354048015035))",MANEE AVENUE,25,NO,153.856619083
14,"MULTILINESTRING ((-73.78598810052512 40.6418010070849, -73.78599367939937 40.641900858233754))",JFK TERMINAL 3 ACCESS ROAD,25,NO,36.4114223669
15,"MULTILINESTRING ((-73.79519295803992 40.77636316476078, -73.79529079200131 40.7756542278608))",169 STREET,25,NO,259.706970052
16,"MULTILINESTRING ((-73.77226975765853 40.731332442053024, -73.77152020268778 40.73146337655115))",UNION TURNPIKE,25,YES,213.14610006
17,"MULTILINESTRING ((-73.9652861340731 40.61499263675595, -73.96478112833401 40.61233092094458))",EAST 9 STREET,25,NO,979.816338947
18,"MULTILINESTRING ((-73.92778746581276 40.78098985801686, -73.92776661519395 40.780962079766745, -73.92711214108627 40.780090084193745))",ROBERT F KENNEDY BRIDGE,40,YES,377.417942568
19,"MULTILINESTRING ((-74.12213195974836 40.61201316341332, -74.1231013705115 40.6117379644442))",GARDEN STREET,25,NO,287.222129396
