,Model Year,Vehicle Make,Vehicle Model Description,Alternative Fuel Type
0,2024,Alfa Romeo,Tonale eAWD,Plug-in Hybrid
1,2024,Audi,e-tron GT,Battery Electric
2,2024,Audi,Q4 40 e-tron,Battery Electric
3,2024,Audi,Q4 50 e-tron quattro,Battery Electric
4,2024,Audi,Q4 Sportback 50 e-tron quattro,Battery Electric
5,2024,Audi,Q8 e-tron quattro,Battery Electric
6,2024,Audi,Q8 Sportback e-tron quattro,Battery Electric
7,2024,Audi,Q8 Sportback e-tron ultra quattro,Battery Electric
8,2024,Audi,RS e-tron GT,Battery Electric
9,2024,Audi,SQ8 e-tron (20 inch wheels),Battery Electric
10,2024,Audi,SQ8 e-tron (21/22 inch wheels),Battery Electric
11,2024,Audi,SQ8 Sportback e-tron (20 inch wheels),Battery Electric
12,2024,Audi,SQ8 Sportback e-tron (21/22 inch wheels),Battery Electric
13,2023,Audi,e-tron GT,Battery Electric
14,2023,Audi,e-tron quattro,Battery Electric
15,2023,Audi,e-tron S (20 inch wheels),Battery Electric
16,2023,Audi,e-tron S (21/22 inch wheels),Battery Electric
17,2023,Audi,e-tron S Sportback (20 inch wheels),Battery Electric
18,2023,Audi,e-tron S Sportback (21/22 inch wheels),Battery Electric
19,2023,Audi,e-tron Sportback quattro,Battery Electric
20,2023,Audi,Q4 e-tron,Battery Electric
21,2023,Audi,Q4 e-tron quattro,Battery Electric
22,2023,Audi,Q4 e-tron Sportback,Battery Electric
23,2023,Audi,RS e-tron GT,Battery Electric
24,2022,Audi,e-tron GT,Battery Electric
25,2022,Audi,e-tron quattro,Battery Electric
26,2022,Audi,e-tron S (20in wheels),Battery Electric
27,2022,Audi,e-tron S (21/22 inch wheels),Battery Electric
28,2022,Audi,e-tron S Sportback (20 inch wheels),Battery Electric
29,2022,Audi,e-tron S Sportback (21/22 inch wheels),Battery Electric
30,2022,Audi,e-tron Sportback quattro,Battery Electric
31,2022,Audi,Q4 e-tron quattro,Battery Electric
32,2022,Audi,Q4 e-tron Sportback quattro,Battery Electric
33,2022,Audi,RS e-tron GT,Battery Electric
34,2021,Audi,e-tron,Battery Electric
35,2021,Audi,e-tron Sportback,Battery Electric
36,2020,Audi,e-tron Sportback,Battery Electric
37,2019,Audi,e-tron,Battery Electric
38,2012,Azure Dynamics,Transit Connect Electric Van/Wagon,Battery Electric
39,2024,BMW,i4 eDrive35 Gran Coupe (18 inch Wheels),Battery Electric
40,2024,BMW,i4 eDrive35 Gran Coupe (19 inch Wheels),Battery Electric
41,2024,BMW,i4 eDrive40 Gran Coupe (18 inch Wheels),Battery Electric
42,2024,BMW,i4 eDrive40 Gran Coupe (19 inch Wheels),Battery Electric
43,2024,BMW,i4 M50 Gran Coupe (19 inch wheels),Battery Electric
44,2024,BMW,i4 M50 Gran Coupe (20 inch wheels),Battery Electric
45,2024,BMW,i4 xDrive40 Gran Coupe (18 inch Wheels),Battery Electric
46,2024,BMW,i4 xDrive40 Gran Coupe (19 inch Wheels),Battery Electric
47,2024,BMW,i5 eDrive40 Sedan (19 inch Wheels),Battery Electric
48,2024,BMW,i5 eDrive40 Sedan (20 inch Wheels),Battery Electric
49,2024,BMW,i5 eDrive40 Sedan (21 inch Wheels),Battery Electric
50,2024,BMW,i5 M60 xDrive Sedan (19 inch Wheels),Battery Electric
51,2024,BMW,i5 M60 xDrive Sedan (20 inch Wheels),Battery Electric
52,2024,BMW,i5 M60 xDrive Sedan (21 inch Wheels),Battery Electric
53,2024,BMW,i7 eDrive50 Sedan (19 inch Wheels),Battery Electric
54,2024,BMW,i7 eDrive50 Sedan (20 inch Wheels),Battery Electric
55,2024,BMW,i7 eDrive50 Sedan (21 inch Wheels),Battery Electric
56,2024,BMW,i7 M70 xDrive Sedan (20 inch Wheels),Battery Electric
57,2024,BMW,i7 M70 xDrive Sedan (21 inch Wheels),Battery Electric
58,2024,BMW,i7 xDrive60 Sedan (19 inch wheels),Battery Electric
59,2024,BMW,i7 xDrive60 Sedan (20 inch wheels),Battery Electric
60,2024,BMW,i7 xDrive60 Sedan (21 inch wheels),Battery Electric
61,2024,BMW,iX M60 (21 inch Wheels),Battery Electric
62,2024,BMW,iX M60 (22 inch Wheels),Battery Electric
63,2024,BMW,iX xDrive40 (20 inch Wheels),Battery Electric
64,2024,BMW,iX xDrive40 (21 inch Wheels),Battery Electric
65,2024,BMW,iX xDrive40 (22 inch Wheels),Battery Electric
66,2024,BMW,iX xDrive50 (20 inch wheels),Battery Electric
67,2024,BMW,iX xDrive50 (21 inch wheels),Battery Electric
68,2024,BMW,iX xDrive50 (22 inch wheels),Battery Electric
69,2024,BMW,XM,Plug-in Hybrid
70,2023,BMW,i4 eDrive35 Gran Coupe (18 inch Wheels),Battery Electric
71,2023,BMW,i4 eDrive35 Gran Coupe (19 inch Wheels),Battery Electric
72,2023,BMW,i4 eDrive40 Gran Coupe (18 inch wheels),Battery Electric
73,2023,BMW,i4 eDrive40 Gran Coupe (19 inch Wheels),Battery Electric
74,2023,BMW,i4 M50 Gran Coupe (19 inch wheels),Battery Electric
75,2023,BMW,i4 M50 Gran Coupe (20 inch wheels),Battery Electric
76,2023,BMW,i7 xDrive60 Sedan (19 inch wheels),Battery Electric
77,2023,BMW,i7 xDrive60 Sedan (20 inch wheels),Battery Electric
78,2023,BMW,i7 xDrive60 Sedan (21 inch wheels),Battery Electric
79,2023,BMW,iX M60 (21 inch wheels),Battery Electric
80,2023,BMW,iX M60 (22 inch wheels),Battery Electric
81,2023,BMW,iX xDrive50 (20 inch wheels),Battery Electric
82,2023,BMW,iX xDrive50 (21 inch wheels),Battery Electric
83,2023,BMW,iX xDrive50 (22 inch wheels),Battery Electric
84,2023,BMW,X5 xDrive45e,Plug-in Hybrid
85,2023,BMW,XM,Plug-in Hybrid
86,2022,BMW,i4 eDrive40 Gran Coupe (18 inch wheels),Battery Electric
87,2022,BMW,i4 eDrive40 Gran Coupe (19 inch wheels),Battery Electric
88,2022,BMW,i4 M50 Gran Coupe (19 inch wheels),Battery Electric
89,2022,BMW,i4 M50 Gran Coupe (20 inch wheels),Battery Electric
90,2022,BMW,iX xDrive50 (20 inch wheels),Battery Electric
91,2022,BMW,iX xDrive50 (21 inch wheels),Battery Electric
92,2022,BMW,iX xDrive50 (22 inch wheels),Battery Electric
93,2022,BMW,X5 xDrive45e,Plug-in Hybrid
94,2021,BMW,i3,Battery Electric
95,2021,BMW,i3 with Range Extender,Plug-in Hybrid
96,2021,BMW,i3s,Battery Electric
97,2021,BMW,i3s with Range Extender,Plug-in Hybrid
