,dataType,metadata_generatedAt,metadata_generatedBy,metadata_logFileName,metadata_schemaVersion,messageId,metadata_sanitized,metadata_payloadType,metadata_recordType,metadata_serialId_streamId,metadata_serialId_bundleSize,metadata_serialId_bundleId,metadata_serialId_recordId,metadata_serialId_serialNumber,metadata_receivedAt,metadata_rmd_elevation,metadata_rmd_heading,metadata_rmd_longitude,metadata_rmd_latitude,metadata_rmd_speed,metadata_rmd_rxSource,metadata_request_rsus,metadata_request_snmp_channel,metadata_request_snmp_deliverystart,metadata_request_snmp_deliverystop,metadata_request_snmp_enable,metadata_request_snmp_interval,metadata_request_snmp_mode,metadata_request_snmp_msgid,metadata_request_snmp_rsuid,metadata_request_snmp_status,travelerdataframe_anchor_elevation,travelerdataframe_anchor_lat,travelerdataframe_anchor_long,travelerdataframe_closedPath,travelerdataframe_content_advisory_sequence,travelerdataframe_desc_nodes,travelerdataframe_desc_scale,travelerdataframe_direction,travelerdataframe_directionality,travelerdataframe_durationTime,travelerdataframe_frameType,travelerdataframe_id,travelerdataframe_laneWidth,travelerdataframe_msgId_crc,travelerdataframe_msgId_elevation,travelerdataframe_msgId_lat,travelerdataframe_msgId_long,travelerdataframe_msgId_mutcdCode,travelerdataframe_msgId_viewAngle,travelerdataframe_name,travelerdataframe_priority,travelerdataframe_sspLocationRights,travelerdataframe_sspMsgRights1,travelerdataframe_sspMsgRights2,travelerdataframe_sspTimRights,travelerdataframe_startTime,travelerdataframe_startYear,travelerdataframe_url,travelerinformation_msgCnt,travelerinformation_packetID,travelerinformation_timeStamp,travelerinformation_urlB,metadata_securityResultCode,travelerdataframe_content_itis,travelerdataframe_content_workZone_sequence,travelerdataframe_content_genericSign_sequence,travelerdataframe_content_speedLimit_sequence,travelerdataframe_content_exitService_sequence
0,TravelerInformation,01/13/2022 12:58:40 AM,TMC,,6,31,False,us.dot.its.jpo.ode.model.OdeTimPayload,,b5de34c0-8854-4386-8bed-fed4a8b6d5c8,1,150960,0,150960,01/13/2022 12:58:40 AM,,,,,,,,,,,,,,,,,,433223095,-1107307070,,,,0,11111000000000,,,,,5000,,,433223095,-1107307070,,1111111111111111,D_US 191_SAT-49CBB8C3_RC_JACK189191B-0,5,1,1,1,1,17338,2022,,1,B499AE5C27B329C3FC,17338,,,,,,,
1,TravelerInformation,01/13/2022 12:58:40 AM,TMC,,6,31,False,us.dot.its.jpo.ode.model.OdeTimPayload,,b5de34c0-8854-4386-8bed-fed4a8b6d5c8,1,150961,0,150961,01/13/2022 12:58:41 AM,,,,,,,,,,,,,,,,,,432813182,-1105795581,,,,0,111111100000000,,,,,5000,,,432813182,-1105795581,,1111111111111111,D_US 191_SAT-FCC73537_RC_JACK189191B-1,5,1,1,1,1,17338,2022,,1,B53F5246540E127944,17338,,,,,,,
2,TravelerInformation,01/13/2022 02:50:00 AM,TMC,,6,31,False,us.dot.its.jpo.ode.model.OdeTimPayload,,b5de34c0-8854-4386-8bed-fed4a8b6d5c8,1,151049,0,151049,01/13/2022 02:50:00 AM,,,,,,,,,,,,,,,,,,415835296,-1057001867,,,,0,1100000000,,,,,5000,,,415835296,-1057001867,,1111111111111111,I_US 30_SAT-22D3D509_RC_LARUS30WBOSB-0,5,1,1,1,1,17449,2022,,1,793CDC7FBAA6CCE0F0,17450,,,,,,,
3,TravelerInformation,01/13/2022 02:50:00 AM,TMC,,6,31,False,us.dot.its.jpo.ode.model.OdeTimPayload,,b5de34c0-8854-4386-8bed-fed4a8b6d5c8,1,151050,0,151050,01/13/2022 02:50:01 AM,,,,,,,,,,,,,,,,,,415528194,-1056820798,,,,0,11,,,,,5000,,,415528194,-1056820798,,1111111111111111,D_US 30_SAT-A9AC8B23_RC_LARUS30WBOSB-0,5,1,1,1,1,17449,2022,,1,10E674B6CA4AA076EC,17450,,,,,,,
4,TravelerInformation,01/13/2022 02:50:01 AM,TMC,,6,31,False,us.dot.its.jpo.ode.model.OdeTimPayload,,b5de34c0-8854-4386-8bed-fed4a8b6d5c8,1,151051,0,151051,01/13/2022 02:50:01 AM,,,,,,,,,,,,,,,,,,417239001,-1059326813,,,,0,111000000000,,,,,5000,,,417239001,-1059326813,,1111111111111111,I_US 30_SAT-DC029518_RC_LARUS30WB-0,5,1,1,1,1,17449,2022,,1,A65FED9485E83BFCD3,17450,,,,,,,
5,TravelerInformation,01/13/2022 02:50:01 AM,TMC,,6,31,False,us.dot.its.jpo.ode.model.OdeTimPayload,,b5de34c0-8854-4386-8bed-fed4a8b6d5c8,1,151052,0,151052,01/13/2022 02:50:02 AM,,,,,,,,,,,,,,,,,,415810396,-1056979040,,,,0,1110,,,,,5000,,,415810396,-1056979040,,1111111111111111,D_US 30_SAT-43155FB5_RC_LARUS30WB-0,5,1,1,1,1,17449,2022,,1,86902D29AE4E0D4AC3,17450,,,,,,,
6,TravelerInformation,01/13/2022 02:50:02 AM,TMC,,6,31,False,us.dot.its.jpo.ode.model.OdeTimPayload,,b5de34c0-8854-4386-8bed-fed4a8b6d5c8,1,151053,0,151053,01/13/2022 02:50:02 AM,,,,,,,,,,,,,,,,,,415555400,-1056836896,,,,0,1110000000,,,,,5000,,,415555400,-1056836896,,1111111111111111,I_US 30_SAT-8EADA243_RC_LARUS30WS34B-0,5,1,1,1,1,17449,2022,,1,423FF93A45D92BCB32,17450,,,,,,,
7,TravelerInformation,01/13/2022 02:50:02 AM,TMC,,6,31,False,us.dot.its.jpo.ode.model.OdeTimPayload,,b5de34c0-8854-4386-8bed-fed4a8b6d5c8,1,151054,0,151054,01/13/2022 02:50:03 AM,,,,,,,,,,,,,,,,,,413266135,-1055919441,,,,0,1000000000000011,,,,,5000,,,413266135,-1055919441,,1111111111111111,D_US 30_SAT-3D97E828_RC_LARUS30WS34B-0,5,1,1,1,1,17449,2022,,1,A38A2B139627E0D1FD,17450,,,,,,,
8,TravelerInformation,01/13/2022 02:50:03 AM,TMC,,6,31,False,us.dot.its.jpo.ode.model.OdeTimPayload,,b5de34c0-8854-4386-8bed-fed4a8b6d5c8,1,151055,0,151055,01/13/2022 02:50:03 AM,,,,,,,,,,,,,,,,,,417287452,-1059656911,,,,0,110000000000,,,,,5000,,,417287452,-1059656911,,1111111111111111,I_US 30_SAT-89320F44_RC_LARUS30WRRB-0,5,1,1,1,1,17449,2022,,1,98EA1D0E79CB4D55C8,17450,,,,,,,
9,TravelerInformation,01/13/2022 02:50:03 AM,TMC,,6,31,False,us.dot.its.jpo.ode.model.OdeTimPayload,,b5de34c0-8854-4386-8bed-fed4a8b6d5c8,1,151056,0,151056,01/13/2022 02:50:04 AM,,,,,,,,,,,,,,,,,,417236851,-1059307425,,,,0,1000,,,,,5000,,,417236851,-1059307425,,1111111111111111,D_US 30_SAT-6973D0AF_RC_LARUS30WRRB-0,5,1,1,1,1,17449,2022,,1,1F2702049DD4B32455,17450,,,,,,,
