,organization,dataset_name,column_name,tags,theme,isopen,license_id,license_title,accessLevel,license
0,State of Washington,electric-vehicle-population-data,VIN (1-10),"['bev', 'bevs', 'bolt', 'car', 'cars', 'chevrolet', 'chevy', 'clean-energy', 'department-of-licensing', 'dol', 'dol_open_data', 'electric', 'energy', 'environment', 'ev', 'evs', 'green-report', 'hybrid', 'hybrids', 'leaf', 'model-3', 'nhtsa', 'nissan', 'phev', 'phevs', 'plug-in', 'plug-ins', 'population', 'rao_ev', 'rao_open_data', 'rao_veh', 'tesla', 'vehicle', 'vehicles', 'volt']",Transportation,False,other-license-specified,other-license-specified,public,http://opendatacommons.org/licenses/odbl/1.0/
1,State of Washington,electric-vehicle-population-data,County,"['bev', 'bevs', 'bolt', 'car', 'cars', 'chevrolet', 'chevy', 'clean-energy', 'department-of-licensing', 'dol', 'dol_open_data', 'electric', 'energy', 'environment', 'ev', 'evs', 'green-report', 'hybrid', 'hybrids', 'leaf', 'model-3', 'nhtsa', 'nissan', 'phev', 'phevs', 'plug-in', 'plug-ins', 'population', 'rao_ev', 'rao_open_data', 'rao_veh', 'tesla', 'vehicle', 'vehicles', 'volt']",Transportation,False,other-license-specified,other-license-specified,public,http://opendatacommons.org/licenses/odbl/1.0/
2,State of Washington,electric-vehicle-population-data,City,"['bev', 'bevs', 'bolt', 'car', 'cars', 'chevrolet', 'chevy', 'clean-energy', 'department-of-licensing', 'dol', 'dol_open_data', 'electric', 'energy', 'environment', 'ev', 'evs', 'green-report', 'hybrid', 'hybrids', 'leaf', 'model-3', 'nhtsa', 'nissan', 'phev', 'phevs', 'plug-in', 'plug-ins', 'population', 'rao_ev', 'rao_open_data', 'rao_veh', 'tesla', 'vehicle', 'vehicles', 'volt']",Transportation,False,other-license-specified,other-license-specified,public,http://opendatacommons.org/licenses/odbl/1.0/
3,State of Washington,electric-vehicle-population-data,State,"['bev', 'bevs', 'bolt', 'car', 'cars', 'chevrolet', 'chevy', 'clean-energy', 'department-of-licensing', 'dol', 'dol_open_data', 'electric', 'energy', 'environment', 'ev', 'evs', 'green-report', 'hybrid', 'hybrids', 'leaf', 'model-3', 'nhtsa', 'nissan', 'phev', 'phevs', 'plug-in', 'plug-ins', 'population', 'rao_ev', 'rao_open_data', 'rao_veh', 'tesla', 'vehicle', 'vehicles', 'volt']",Transportation,False,other-license-specified,other-license-specified,public,http://opendatacommons.org/licenses/odbl/1.0/
4,State of Washington,electric-vehicle-population-data,Postal Code,"['bev', 'bevs', 'bolt', 'car', 'cars', 'chevrolet', 'chevy', 'clean-energy', 'department-of-licensing', 'dol', 'dol_open_data', 'electric', 'energy', 'environment', 'ev', 'evs', 'green-report', 'hybrid', 'hybrids', 'leaf', 'model-3', 'nhtsa', 'nissan', 'phev', 'phevs', 'plug-in', 'plug-ins', 'population', 'rao_ev', 'rao_open_data', 'rao_veh', 'tesla', 'vehicle', 'vehicles', 'volt']",Transportation,False,other-license-specified,other-license-specified,public,http://opendatacommons.org/licenses/odbl/1.0/
5,State of Washington,electric-vehicle-population-data,Model Year,"['bev', 'bevs', 'bolt', 'car', 'cars', 'chevrolet', 'chevy', 'clean-energy', 'department-of-licensing', 'dol', 'dol_open_data', 'electric', 'energy', 'environment', 'ev', 'evs', 'green-report', 'hybrid', 'hybrids', 'leaf', 'model-3', 'nhtsa', 'nissan', 'phev', 'phevs', 'plug-in', 'plug-ins', 'population', 'rao_ev', 'rao_open_data', 'rao_veh', 'tesla', 'vehicle', 'vehicles', 'volt']",Transportation,False,other-license-specified,other-license-specified,public,http://opendatacommons.org/licenses/odbl/1.0/
6,State of Washington,electric-vehicle-population-data,Make,"['bev', 'bevs', 'bolt', 'car', 'cars', 'chevrolet', 'chevy', 'clean-energy', 'department-of-licensing', 'dol', 'dol_open_data', 'electric', 'energy', 'environment', 'ev', 'evs', 'green-report', 'hybrid', 'hybrids', 'leaf', 'model-3', 'nhtsa', 'nissan', 'phev', 'phevs', 'plug-in', 'plug-ins', 'population', 'rao_ev', 'rao_open_data', 'rao_veh', 'tesla', 'vehicle', 'vehicles', 'volt']",Transportation,False,other-license-specified,other-license-specified,public,http://opendatacommons.org/licenses/odbl/1.0/
7,State of Washington,electric-vehicle-population-data,Model,"['bev', 'bevs', 'bolt', 'car', 'cars', 'chevrolet', 'chevy', 'clean-energy', 'department-of-licensing', 'dol', 'dol_open_data', 'electric', 'energy', 'environment', 'ev', 'evs', 'green-report', 'hybrid', 'hybrids', 'leaf', 'model-3', 'nhtsa', 'nissan', 'phev', 'phevs', 'plug-in', 'plug-ins', 'population', 'rao_ev', 'rao_open_data', 'rao_veh', 'tesla', 'vehicle', 'vehicles', 'volt']",Transportation,False,other-license-specified,other-license-specified,public,http://opendatacommons.org/licenses/odbl/1.0/
8,State of Washington,electric-vehicle-population-data,Electric Vehicle Type,"['bev', 'bevs', 'bolt', 'car', 'cars', 'chevrolet', 'chevy', 'clean-energy', 'department-of-licensing', 'dol', 'dol_open_data', 'electric', 'energy', 'environment', 'ev', 'evs', 'green-report', 'hybrid', 'hybrids', 'leaf', 'model-3', 'nhtsa', 'nissan', 'phev', 'phevs', 'plug-in', 'plug-ins', 'population', 'rao_ev', 'rao_open_data', 'rao_veh', 'tesla', 'vehicle', 'vehicles', 'volt']",Transportation,False,other-license-specified,other-license-specified,public,http://opendatacommons.org/licenses/odbl/1.0/
9,State of Washington,electric-vehicle-population-data,Clean Alternative Fuel Vehicle (CAFV) Eligibility,"['bev', 'bevs', 'bolt', 'car', 'cars', 'chevrolet', 'chevy', 'clean-energy', 'department-of-licensing', 'dol', 'dol_open_data', 'electric', 'energy', 'environment', 'ev', 'evs', 'green-report', 'hybrid', 'hybrids', 'leaf', 'model-3', 'nhtsa', 'nissan', 'phev', 'phevs', 'plug-in', 'plug-ins', 'population', 'rao_ev', 'rao_open_data', 'rao_veh', 'tesla', 'vehicle', 'vehicles', 'volt']",Transportation,False,other-license-specified,other-license-specified,public,http://opendatacommons.org/licenses/odbl/1.0/
